energy,pretty_formula
-24.21511997,B2AsP
-29.97228132,AlVFeCo
-20.90865729,Al3V
-16.7673908,AlCu3
-27.14269225,AlGaN2
-30.92694735,AlBN2
-8.16858666,AuN
-25.76908493,BP
-17.2344165,TmTlTe2
-24.25052114,ZrTi2
-42.87784525,YSF
-24.84035494,ZrN2
-14.35306145,ZrAg2
-8.23046028,AuN
-8.20791458,YbAg2
-18.37052399,YBiPd
-34.97674889,W2C
-16.28987121,VTe2
-20.62588016,WC
-19.39072486,VCoTe
-28.75114691,V2C
-6.54222485,Au
-21.09211724,WC
-28.13260171,UC2
-12.53203145,CeSe
-7.58709121,AgC
-8.00866281,AuC
-10.91863836,U
-5.92340401,TmCd2
-16.12359226,TiS2
-26.01613624,TiO2
-21.18821367,TiGePt
-5.61488046,Sc
-18.6484643,TiS2
-18.98861142,Ti2Sn
-20.36524566,Ti2Si
-38.61923906,CeScSi
-16.93507818,Ti2In
-17.54237318,Ti2Ga
-19.71470724,Ti2Ge
-5.68308038,Ni
-8.60705398,Ge
-15.59732061,ThH2
-11.5487788,CeTe
-17.81630447,Ti2Al
-5.44313018,TbHg2
-14.49733183,SrB2
-29.85197904,TaN2
-19.62825595,SrC2
-5.56889581,SmHg2
-21.57259881,RuO2
-6.36740577,MgTe
-27.94022584,ReN2
-28.2230903,ReC2
-7.56242617,SmCd2
-29.51941219,ReC2
-26.3665409,ReC2
-9.90828662,RbCuO
-19.96230811,PtN2
-9.45241572,RbAgO
-16.87621305,PdN2
-25.23259567,OsN2
-24.76638098,OsN2
-19.53687785,HfC
-32.46049328,NpN2
-27.88061478,OsC2
-16.67542496,NdBiPd
-20.59416888,NbS2
-7.63523124,NdCd2
-10.68240451,NaAgO
-11.76547429,NaCuO
-20.6625706,MnFeTe
-19.93784915,MnCoSe
-19.6680434,MnCoTe
-21.62707803,Mn2Sb
-20.55280216,MnCoS
-11.34100127,MgNiH
-22.29220786,Mn2Sb
-71.16470754,Ba5Sb4
-8.58268692,MgH2
-13.35548084,LuSb2
-9.25063656,MgAgSb
-5.95054202,LuCd2
-16.59701551,LiMnAs
-7.54161577,AgC
-7.17745195,CdN
-22.53116801,Mn2Ge
-7.01384077,CdN
-10.38736136,CuN
-10.32388616,DySb
-16.81999801,LiFeP
-12.54481811,CrTe
-15.48925283,LiFeAs
-17.28844677,EuSe
-16.27644865,FeN
-10.21131111,ErSb
-6.90705422,CdN
-14.22896047,IrN
-15.65500653,IrN
-12.75820297,LaS
-11.93677231,LaSe
-69.6389539,SrSi6
-13.80625966,IrN
-8.16809353,LiCdAs
-10.02465126,LuSb
-11.00455229,LaTe
-9.14406152,LiF
-13.3899062,LiCuO
-14.13845492,IrN
-11.11413975,LuAs
-10.26279531,HoSb
-5.49456975,InAg
-15.1844081,FeN
-10.56981966,KCuO
-9.97085354,KAgO
-22.42750423,IrN2
-22.91267629,IrC2
-22.42564371,IrN2
-11.817909,FeH
-14.41462579,CoN
-12.78765987,CrTe
-6.05680273,HoCd2
-32.33899363,MgSnAs2
-35.34275134,MgSnP2
-35.52813875,BeSnAs2
-42.96926345,BeSiP2
-38.89547714,BeSnP2
-38.64637792,BeSiAs2
-36.74653505,BeGeAs2
-75.86326658,KV(CuSe2)2
-5.36941704,HoHg2
-10.47152226,MgO
-16.55423871,MnN
-11.29301221,MgO
-18.07729915,MnN
-13.46850864,MnAs
-16.44813599,HoBiPd
-16.28293635,MnCo
-17.43088897,MnFe
-14.49367412,MnP
-16.62505825,MnN
-18.06038429,MnN
-30.86791163,KCu4Se3
-12.5519211,MnSn
-12.6927802,MnSb
-12.44110665,MnSb
-13.01695469,MnSb
-19.08137553,MoC
-28.76255642,HfN2
-4.77340437,NaH
-7.10203441,NaN
-12.41361095,MnTe
-6.48195111,NaAs
-13.01701588,MnSb
-11.58029155,NdAs
-14.25055462,NdN
-22.27319566,Hf2Tl
-17.24450846,NbCo
-144.71117075,Sr2YbNbO6
-162.90159866,Tm5(ReO6)2
-19.13802855,NbC
